feature,weight,class_direction
refreshing,1.7664067985141179,positive
complaint,1.5747928518279484,positive
disappoint,1.5616183014048437,positive
entertains,1.5151574220190636,positive
ringwald,1.5046104371619702,positive
squirrel,1.4850694361012526,positive
bimbo,1.4620737944566096,positive
wonderfully,1.428121980463854,positive
perfect,1.4233304712197608,positive
cope,1.408387854165001,positive
raunchy,1.3998083420168888,positive
penny,1.3944200972985816,positive
hooked,1.3787076308745767,positive
portman,1.3764028259858951,positive
email,1.3412670812474035,positive
superb,1.3151909168840656,positive
subtle,1.3034874789759943,positive
adr,1.303391726072721,positive
apocalyptic,1.2947030499306622,positive
distant,1.2712834414738934,positive
meadows,1.2659406937777846,positive
excellent,1.2597748081494893,positive
cheer,1.2568675393297504,positive
chavez,1.256167837950189,positive
gem,1.248874229730685,positive
forgettable,-2.3972907353148996,negative
waste,-2.244213105222732,negative
worst,-2.1674089902940223,negative
disappointment,-1.9464288988323015,negative
awful,-1.7762520449458061,negative
mediocre,-1.7375875038254507,negative
rainy,-1.6316594986927742,negative
depp,-1.6223655280311144,negative
fails,-1.61956082426198,negative
disappointing,-1.591134159045731,negative
uninteresting,-1.5830445643380138,negative
poorly,-1.56189612840431,negative
boring,-1.5289773394645665,negative
horrible,-1.4953360373049802,negative
stinker,-1.489340330029048,negative
lousy,-1.4845405721765161,negative
dreadful,-1.4758397947178108,negative
bland,-1.4738818028315521,negative
trite,-1.4720040033585808,negative
laughable,-1.4647252233645973,negative
unwatchable,-1.462987727012022,negative
mst3k,-1.4592153545801252,negative
save,-1.4556244963953482,negative
redeeming,-1.4460278962569018,negative
cortese,-1.424438710297077,negative
